LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
70,8248,2fmCon,9,5,2,0,6,1979,996,4,GasA,Y,1573,0,2007,237323.256184123
79,11670,1Fam,6,5,1,0,4,1932,673,3,GasA,Y,968,0,2006,86516.5033441405
60,8400,1Fam,6,5,1,0,4,1950,1588,3,GasA,Y,1145,0,2008,192898.007706445
70,5586,1Fam,7,7,2,0,4,1940,940,2,GasA,Y,1302,0,2007,105290.785210874
75,10400,1Fam,3,5,1,0,5,2006,1175,3,GasA,Y,1477,0,2006,146034.369499825
67,11500,1Fam,5,5,1,0,5,2005,617,3,GasA,Y,2574,0,2008,171128.031857773
50,5100,1Fam,6,5,1,0,7,2005,0,2,GasA,Y,1962,0,2006,186228.619008164
55,12160,1Fam,4,5,2,1,7,1957,1113,3,GasA,Y,1726,0,2006,148770.974114565
39,6120,TwnhsE,4,6,2,0,4,1977,1040,3,GasA,Y,2030,0,2007,157420.700630602
74,8121,1Fam,5,5,1,1,7,1914,1431,3,GasA,Y,2138,0,2009,178709.869334221
50,12274,1Fam,7,5,1,0,11,1955,1643,1,GasA,Y,1728,0,2008,235479.630413343
24,7200,1Fam,7,5,2,0,7,1970,926,3,GasA,Y,1710,0,2007,148496.033911167
91,8472,1Fam,5,5,1,0,5,1921,1383,3,GasA,Y,480,0,2009,110981.262184821
84,9549,1Fam,7,5,1,1,7,1941,0,3,GasA,Y,1437,0,2009,93207.0590924591
51,7658,1Fam,4,4,1,0,6,2001,1257,3,GasA,Y,1040,0,2006,126590.543876531
70,11029,1Fam,8,5,2,0,5,2001,728,4,GasA,Y,2019,0,2006,216407.356705523
82,7590,TwnhsE,5,5,1,0,7,1925,1337,3,GasA,N,1682,0,2006,100653.510093275
34,4403,1Fam,5,5,2,0,5,1956,756,2,GasA,Y,2704,0,2009,144040.773736608
104,14587,1Fam,5,5,2,0,8,1998,1208,3,GasA,Y,1002,0,2010,162050.66495059
70,8773,1Fam,7,7,2,0,7,1965,2006,2,GasA,Y,2230,0,2007,222471.93294413
78,6240,1Fam,6,8,1,0,7,1952,990,3,GasA,Y,1208,0,2008,151949.214585005
70,11340,1Fam,5,5,1,0,7,1918,796,2,GasA,Y,2610,0,2008,140429.844012334
68,8400,1Fam,6,7,2,0,6,1970,1149,1,GasA,Y,1776,0,2009,205895.696877419
51,7200,1Fam,7,5,1,0,7,1971,756,1,GasA,N,1894,0,2007,168206.563714363
60,8120,1Fam,7,6,2,0,7,2007,756,3,GasA,Y,1632,0,2007,198538.18687417
65,14450,1Fam,4,7,2,1,7,1998,712,2,GasA,N,1812,0,2009,194093.532681415
101,17503,1Fam,9,5,1,1,7,1940,728,3,GasA,Y,2035,0,2006,274711.922076035
32,2665,1Fam,5,5,1,0,7,1968,1030,3,GasA,Y,1960,0,2006,152867.886141964
80,4282,2fmCon,7,6,1,1,6,2010,896,3,GasA,N,2614,0,2006,205042.4584048
70,10634,1Fam,7,4,2,1,6,1972,1249,2,GasA,Y,1266,0,2007,168093.528292705
86,10652,1Fam,8,5,2,1,6,1977,1610,3,GasA,Y,1694,0,2009,193892.320979125
76,8475,1Fam,7,9,2,0,6,1965,686,1,GasA,Y,1971,0,2007,190602.466413798
85,2500,Twnhs,7,5,1,0,5,2009,728,3,GasA,Y,1436,0,2008,211873.576845771
79,13472,1Fam,4,6,2,0,8,2006,944,4,GasA,Y,1414,0,2008,173980.942255933
24,9950,1Fam,9,5,1,1,5,1993,686,3,GasA,Y,1710,0,2008,235509.924685451
70,13860,1Fam,4,5,1,1,6,1999,1162,3,GasA,Y,1768,0,2006,198686.028822869
41,9337,1Fam,5,9,1,1,8,1950,630,3,GasA,Y,1324,0,2006,173392.870111859
90,8125,Duplex,5,5,1,0,7,1967,1554,3,GasA,N,1086,0,2008,174299.424679969
65,9100,Twnhs,7,2,1,0,6,1960,1392,3,GasA,Y,981,0,2008,124402.498646399
134,5330,1Fam,7,5,2,1,5,1964,1070,2,GasA,Y,845,0,2006,152783.062551102
80,9672,1Fam,4,3,0,0,5,2003,710,3,GasA,Y,1710,0,2008,181398.002960182
67,10593,1Fam,7,5,1,0,5,1930,1347,3,GasA,N,1573,0,2006,160737.481056029
80,4130,2fmCon,6,5,2,0,5,2004,736,2,GasA,Y,1386,0,2009,156819.694167517
60,4224,1Fam,7,4,2,1,6,2001,770,3,GasA,Y,1548,0,2008,246569.013368067
56,12003,1Fam,6,5,1,0,6,1998,712,3,GasA,Y,1656,0,2006,128258.918051043
60,8791,1Fam,7,6,3,0,6,1979,1148,2,GasA,Y,2110,0,2006,227204.830458357
55,11210,1Fam,5,5,1,0,3,1967,702,3,GasA,Y,2020,0,2008,136416.010891382
70,6979,1Fam,5,5,2,1,5,2000,793,3,GasA,Y,1477,0,2010,169706.863357361
70,5330,1Fam,8,5,2,0,11,1965,1020,2,GasA,Y,864,0,2007,148875.177944003
85,3182,1Fam,9,7,2,1,6,1958,458,2,GasA,Y,1242,0,2008,197439.723364458
61,1300,1Fam,5,5,2,1,8,1912,673,3,GasA,Y,958,0,2009,71377.4132818999
87,7677,1Fam,4,6,2,0,8,2000,1623,4,GasA,Y,1721,0,2007,213642.604615505
36,9920,1Fam,5,7,1,0,11,2004,1638,2,GasA,Y,1867,0,2010,212887.135293177
62,9505,Duplex,7,5,1,0,4,1923,728,3,GasA,Y,1478,0,2007,181951.728390069
50,10655,1Fam,7,8,1,0,6,1980,798,1,GasA,Y,1073,0,2009,190896.373696636
90,8163,1Fam,8,6,2,0,6,2005,1052,2,GasA,Y,2612,0,2007,316558.240895545
65,22420,1Fam,5,5,1,0,6,1978,740,4,GasA,Y,1656,0,2007,184394.240836965
65,8750,1Fam,7,6,2,1,6,2000,807,3,GasA,N,864,0,2007,170575.162071336
66,8777,TwnhsE,4,5,2,1,5,1977,912,1,GasA,Y,1969,0,2010,169096.760964504
77,6979,1Fam,5,6,2,0,5,1962,1572,3,GasA,Y,1440,0,2009,156182.990303864
110,7200,1Fam,9,7,1,1,5,1967,686,3,GasA,Y,1262,0,2009,214087.914414732
67,5790,1Fam,6,6,2,0,8,1880,884,1,GasA,Y,1155,0,2009,128694.299951677
72,40094,1Fam,5,6,1,0,4,1959,864,3,GasA,Y,752,0,2008,130515.582500436
70,7931,1Fam,4,4,2,1,5,1975,1370,4,GasA,Y,1224,0,2008,138902.778630976
43,14260,1Fam,9,6,3,0,6,1976,1604,3,GasA,Y,1638,0,2008,278137.116207651
73,9303,TwnhsE,6,5,2,1,6,2006,700,3,GasA,Y,1935,0,2006,212103.15736975
70,9600,1Fam,6,6,2,0,7,1976,864,3,GasA,Y,2519,0,2008,183281.540028796
72,8246,1Fam,8,8,2,0,8,1955,1086,3,GasA,Y,1422,0,2009,218065.63667632
60,6600,1Fam,6,7,2,2,9,1972,637,3,GasA,Y,1148,0,2008,129041.511035418
47,9060,1Fam,4,4,1,0,4,1925,806,3,GasA,Y,1056,0,2009,76135.7998416992
73,4274,1Fam,7,5,2,0,9,2005,849,3,GasA,Y,1476,0,2007,206729.148857187
65,4058,1Fam,7,5,2,0,5,1974,721,1,GasA,Y,912,0,2009,123915.964151129
74,8089,1Fam,5,5,2,0,6,1940,768,2,GasA,Y,1968,0,2007,134278.055018223
60,9525,1Fam,7,7,2,1,5,1950,483,4,GasA,Y,1502,0,2007,151708.816366564
36,9490,1Fam,6,6,1,0,5,1977,1144,3,GasA,Y,1470,0,2008,157106.586405792
68,3604,1Fam,6,8,1,0,6,1985,1138,3,GasA,Y,1340,0,2009,205500.175550054
75,12803,TwnhsE,5,5,2,0,6,1999,1581,2,GasA,Y,1484,0,2006,190904.209978877
105,8755,1Fam,6,9,2,1,5,1940,770,4,GasA,Y,1183,0,2007,150609.598215435
65,11029,1Fam,7,5,2,1,10,1976,684,2,GasA,Y,894,0,2009,123474.521306605
64,8004,1Fam,5,7,2,1,6,1993,864,2,GasA,Y,1322,0,2010,198963.68972968
87,8750,1Fam,8,5,1,1,7,1930,1844,1,GasA,N,1094,0,2007,247654.88020929
105,7599,1Fam,7,5,1,0,6,1953,884,4,GasA,Y,1208,0,2009,149351.714381284
90,16635,1Fam,6,5,2,0,9,1962,1149,3,GasA,N,1478,0,2008,172489.364083432
100,7150,1Fam,5,5,2,0,8,1931,1626,3,GasA,Y,816,0,2009,128258.568264447
66,7930,1Fam,4,5,2,1,5,2008,2330,3,GasA,Y,1520,0,2007,173278.808172406
94,10140,1Fam,6,7,1,0,12,2006,1364,2,GasA,Y,1389,0,2006,200541.890050772
60,9548,1Fam,4,5,2,0,5,2007,506,3,GasA,Y,2259,0,2007,165144.67513052
90,7758,1Fam,4,5,1,0,6,1940,884,3,GasA,Y,1632,0,2007,129720.117383762
70,7200,1Fam,5,6,2,1,5,1959,907,2,GasA,Y,1279,0,2010,140416.702010036
63,3072,1Fam,3,6,1,1,9,1900,1272,4,GasA,Y,1718,0,2009,129669.080020299
78,8816,TwnhsE,7,5,2,0,9,1885,1127,6,Grav,Y,1310,0,2009,139504.771425841
60,9430,1Fam,5,7,2,1,7,1997,900,3,GasA,Y,1440,0,2006,171274.847317266
21,1680,1Fam,7,5,1,0,8,2005,1462,2,GasA,Y,1199,0,2010,223219.567421521
60,1936,1Fam,8,5,1,1,7,1972,1158,3,GasA,Y,1430,0,2010,216871.457258347
70,9020,1Fam,5,6,2,1,9,2006,1208,3,GasA,Y,1220,0,2006,173243.894102865
95,9920,1Fam,4,5,1,1,6,1988,1004,3,GasA,Y,4316,0,2006,260955.930151784
92,2448,1Fam,5,6,2,0,5,1993,1700,2,GasA,Y,1440,0,2007,198475.854854638
76,4388,TwnhsE,8,5,2,1,7,2004,1092,4,GasA,Y,835,0,2007,165155.729467591
21,8246,1Fam,5,5,1,1,5,2005,1144,2,GasA,Y,605,0,2009,120783.140221426
114,5063,1Fam,5,8,2,1,5,2003,723,3,GasA,Y,1635,0,2007,155216.093138067
54,6240,1Fam,5,5,1,0,6,2004,720,3,GasA,Y,827,0,2007,127509.031824377
24,12099,1Fam,5,5,3,0,7,1958,1092,2,GasA,Y,1567,0,2009,137697.661348605
92,5271,1Fam,8,5,2,0,6,2009,808,3,GasA,Y,864,0,2008,175886.486101541
82,8402,1Fam,10,7,2,1,5,1959,1122,2,GasA,Y,3493,0,2008,317506.395036386
149,8163,1Fam,7,4,1,0,7,2006,1452,2,GasA,Y,630,0,2009,242974.16483583
66,2280,1Fam,7,7,2,1,9,1953,1379,2,GasA,Y,1458,0,2006,167752.037881598
90,5232,1Fam,7,5,1,1,7,2002,1234,2,GasA,Y,2624,0,2009,238186.150540199
75,7200,2fmCon,9,5,2,1,5,1915,864,3,GasA,N,894,0,2009,199375.528760618
80,8450,1Fam,7,5,2,0,6,1964,864,2,GasA,Y,1501,0,2010,161775.479193301
65,13125,1Fam,9,4,2,1,6,1963,1028,3,GasA,Y,1284,0,2008,221140.632864131
80,7711,1Fam,5,6,1,0,5,1996,1080,2,GasA,Y,1072,0,2006,172677.888791266
65,12203,TwnhsE,4,6,1,0,11,1977,861,4,GasA,Y,1324,0,2008,106428.083450699
81,10300,1Fam,5,6,1,1,4,1914,1144,3,GasA,Y,1567,0,2009,135584.788772601
65,3378,1Fam,7,9,1,0,6,1977,1584,3,GasA,Y,1479,0,2008,170863.376983504
60,7200,1Fam,8,5,1,1,5,1959,1187,2,GasA,Y,864,0,2008,174018.666654728
66,7560,1Fam,7,5,2,1,9,2009,858,2,GasA,Y,1196,0,2006,166314.392237513
49,10800,1Fam,7,7,1,1,5,1976,720,1,GasA,Y,936,0,2009,142589.551545198
65,8777,1Fam,6,5,2,1,4,2006,813,3,GasA,Y,2240,0,2006,198317.334796175
65,8877,1Fam,6,6,1,0,8,2007,0,3,GasA,Y,1216,0,2007,124529.986884791
75,10637,TwnhsE,5,5,2,0,8,1972,1145,4,GasA,Y,1489,0,2007,207028.058074943
76,10267,1Fam,5,9,2,0,6,2008,630,4,GasA,Y,1801,0,2006,184557.879503384
70,8880,1Fam,5,5,2,0,8,1962,1922,2,GasA,Y,1425,0,2008,161746.539436618
95,2448,1Fam,7,3,2,2,6,1982,853,3,GasA,Y,1929,0,2009,176801.545836162
48,6380,1Fam,4,5,1,1,6,1965,616,3,GasA,Y,936,0,2010,90720.8309149987
50,10207,1Fam,7,5,2,0,9,2002,1561,2,GasA,N,1710,0,2008,249561.924211455
105,11096,1Fam,6,8,2,1,11,1960,1008,2,GasA,Y,861,0,2006,140608.307161981
70,8924,1Fam,7,5,1,0,4,1971,1656,3,GasA,Y,902,0,2007,160766.061206686
60,8924,Duplex,7,6,2,1,6,1980,0,3,GasA,Y,1056,0,2010,118338.317982885
104,6853,1Fam,5,5,1,0,5,2005,793,3,GasA,Y,2403,0,2006,165441.422766205
65,10500,1Fam,6,5,2,0,7,1920,1434,3,GasA,Y,1040,0,2007,149483.312044291
78,8089,1Fam,6,6,2,0,4,1999,840,3,GasA,Y,1489,0,2008,195167.832794559
80,6240,1Fam,6,5,1,0,6,1997,612,3,GasA,Y,845,0,2007,137708.277994559
60,5925,1Fam,6,7,2,0,11,2005,1686,3,GasA,Y,1644,0,2006,184536.184538957
80,10603,1Fam,9,5,1,1,8,1989,319,3,GasA,Y,1116,0,2009,217639.165258824
51,3500,1Fam,5,5,2,0,7,2004,770,3,GasA,Y,1661,0,2006,202477.653967467
60,6960,1Fam,6,5,1,1,6,1959,440,3,GasA,Y,1225,0,2006,130638.516943166
80,4500,1Fam,8,5,2,1,4,1995,1032,2,GasA,Y,1550,0,2010,205157.386252154
65,7540,Twnhs,5,5,2,0,8,1910,1372,3,GasA,N,2291,0,2006,184394.523249981
70,11250,1Fam,7,5,1,0,5,1987,1269,2,GasA,N,1728,0,2006,164911.180909583
75,5600,Duplex,6,6,1,0,5,1984,969,3,GasA,N,1516,0,2008,147576.703011564
35,9554,1Fam,8,5,1,0,7,1956,2444,3,GasA,N,2624,0,2008,324135.746761059
85,6792,TwnhsE,7,5,1,0,6,1980,1008,3,GasA,Y,1310,0,2006,144620.607279966
70,2522,1Fam,5,6,1,0,7,1971,2109,2,GasA,Y,1250,0,2006,183613.657222045
50,11900,1Fam,5,5,2,0,7,1963,1024,3,GasA,Y,1472,0,2008,143371.846612156
85,6240,TwnhsE,5,5,1,0,9,2004,894,2,GasA,Y,1604,0,2010,142029.535795805
88,2280,1Fam,8,5,1,1,6,1954,1726,3,GasA,Y,1947,0,2006,253242.887217456
32,7588,1Fam,6,7,2,1,5,2005,928,4,GasA,Y,1774,0,2010,219999.378029769
57,11394,1Fam,6,6,1,0,6,2003,756,2,GasA,Y,2034,0,2009,186663.303192173
60,8100,1Fam,6,4,2,1,7,2003,728,3,GasA,Y,1949,0,2006,190475.379126412
58,6600,1Fam,7,5,2,0,5,1955,768,3,GasA,N,1792,0,2008,179709.65191739
60,1680,1Fam,5,6,1,1,6,1940,882,3,GasW,Y,1269,0,2007,154316.547422149
55,8281,1Fam,5,7,2,1,8,1987,858,2,GasA,N,1644,0,2008,164203.63523115
64,9873,1Fam,5,8,2,0,7,1959,630,3,GasA,Y,1015,0,2006,127817.233268687
91,7200,1Fam,5,6,1,1,8,1978,1304,4,GasA,Y,1118,0,2006,135347.532208865
80,6563,1Fam,6,5,2,0,6,1910,783,4,GasA,Y,1750,0,2007,103202.917929255
51,8777,1Fam,7,5,2,1,6,1980,1673,2,GasA,N,1350,0,2006,196576.337698202
73,12919,1Fam,7,5,1,0,6,1999,1040,3,GasA,Y,752,0,2008,146298.149962824
129,7577,1Fam,7,5,1,0,6,1970,1264,2,GasA,Y,864,0,2009,140225.280034538
101,8800,1Fam,7,6,2,1,7,1962,936,2,GasA,Y,1180,0,2008,125959.559937548
64,1680,1Fam,6,7,2,1,6,1970,1425,4,GasA,Y,1250,0,2006,188267.848812498
74,7000,TwnhsE,6,6,1,0,7,1959,686,2,GasA,Y,1456,0,2006,115617.808478401
79,10846,1Fam,8,5,2,1,5,2003,980,2,GasA,Y,792,0,2009,200826.275618965
70,9855,1Fam,5,6,1,1,7,1954,1125,6,GasA,Y,1520,0,2008,185440.162083388
44,12137,1Fam,8,5,1,0,14,2000,1208,1,GasA,Y,864,0,2006,234088.443657891
86,11207,1Fam,8,6,2,0,9,1993,1026,3,GasA,Y,1230,0,2009,203867.096269642
70,9375,1Fam,6,5,1,1,5,1950,1845,3,GasA,Y,2730,0,2010,191693.155635217
60,3675,TwnhsE,7,3,1,1,8,1922,910,2,GasW,N,1776,0,2006,158071.947379588
47,11600,1Fam,7,5,2,0,8,1910,1856,3,GasA,Y,1324,0,2007,187921.812110305
90,10264,1Fam,4,5,2,1,4,2004,1078,3,GasA,Y,864,0,2009,137709.72959236
60,6930,1Fam,6,5,2,1,7,2005,1344,3,GasA,Y,1419,0,2006,194747.98526104
50,11988,1Fam,6,5,2,0,7,1937,1734,1,GasA,N,1382,0,2010,169921.133940183
70,11717,1Fam,5,6,2,0,5,1908,1026,3,GasA,Y,841,0,2007,100914.074546042
64,12046,1Fam,5,5,1,1,7,1927,520,3,GasA,Y,1411,0,2010,109221.855667437
100,3604,1Fam,4,3,3,1,7,1992,806,3,GasA,N,1200,0,2007,149961.248829621
55,9750,1Fam,4,7,2,1,5,1925,964,3,GasA,N,1471,0,2009,151818.086529344
50,7844,1Fam,3,5,2,0,5,1949,672,2,GasA,Y,2291,0,2007,143356.125900751
50,7200,Twnhs,7,7,2,0,5,1939,0,3,GasA,Y,1296,0,2006,124822.741800573
72,9206,1Fam,5,7,1,1,4,1972,964,3,GasA,Y,1389,0,2008,195258.910884604
60,8125,1Fam,6,6,2,1,10,1988,819,3,GasA,Y,1978,0,2009,200837.928692175
60,10628,1Fam,7,5,1,1,4,1976,1362,4,GasA,Y,1471,0,2006,172611.349725874
70,1680,1Fam,6,5,1,0,5,1940,900,2,GasA,Y,1718,0,2008,124855.352979857
34,8450,1Fam,8,5,1,0,6,1925,1684,2,GasA,Y,864,0,2007,246858.384303704
69,8795,1Fam,5,5,1,1,5,1974,105,3,GasA,Y,1004,0,2007,90881.4760985285
67,9967,1Fam,5,5,2,0,9,2001,1163,3,GasA,Y,784,0,2009,146835.152353023
34,5105,1Fam,6,5,1,0,7,1967,483,4,GasA,Y,1844,0,2009,137926.75842924
80,11841,TwnhsE,6,5,1,0,6,2008,672,3,Wall,Y,1790,0,2009,190112.742891651
78,12552,1Fam,5,5,2,1,5,1920,1063,3,GasA,Y,1842,0,2008,160636.911915824
79,11070,Duplex,6,5,1,1,5,1890,1470,3,GasA,Y,1796,0,2007,103545.114602887
95,13501,1Fam,7,5,1,0,4,1984,926,2,GasA,Y,1396,0,2006,169517.148684089
68,10382,1Fam,6,8,1,0,5,1941,768,2,GasA,Y,1728,0,2009,157879.222098683
50,11999,1Fam,6,5,1,1,7,2004,928,2,GasA,Y,1728,0,2008,164681.536918472
60,7200,Duplex,6,7,1,1,6,2003,876,3,GasA,Y,1479,0,2006,149373.687874324
65,8500,1Fam,6,6,2,1,5,1969,1029,3,GasA,Y,1470,0,2007,157460.977439119
50,10603,1Fam,6,7,2,0,8,2000,802,3,GasA,N,1742,0,2008,165982.985853334
70,1680,Twnhs,7,7,1,1,6,1973,1288,4,GasA,Y,1048,0,2010,132207.724685676
74,10029,1Fam,6,5,2,1,10,1960,1554,2,GasA,Y,2630,0,2008,206677.00985057
68,10400,1Fam,6,5,3,1,5,1957,994,3,GasA,Y,2418,0,2008,196182.266805339
71,10665,1Fam,5,6,1,1,6,2004,1080,3,GasA,Y,1720,0,2006,198606.303330006
55,8593,1Fam,8,7,1,0,5,2006,811,3,GasA,Y,1494,0,2008,196563.5808662
60,14154,1Fam,7,5,2,1,9,1920,624,3,GasA,Y,2263,0,2007,180501.127461042
62,7200,1Fam,5,5,2,0,5,1976,896,1,GasA,Y,1718,0,2008,187542.542752041
63,18386,1Fam,7,5,2,1,10,1937,1814,3,GasA,Y,1950,0,2010,246961.392257264
68,5790,1Fam,8,5,2,1,5,1972,1065,3,GasA,Y,1680,0,2007,216292.405581618
50,10140,1Fam,6,4,1,0,9,2005,1470,3,GasA,Y,2200,0,2009,183205.967617514
50,10552,Duplex,7,7,2,0,7,1960,1040,3,GasA,Y,1040,0,2010,176862.78922576
68,7758,TwnhsE,6,8,2,0,6,2007,849,3,GasA,Y,902,0,2009,175223.280920424
60,14803,1Fam,6,5,2,1,8,1971,969,3,GasA,Y,1944,0,2009,199439.160696535
80,10625,1Fam,5,5,1,0,5,1940,1063,3,GasA,Y,1621,0,2008,156747.041785488
62,11457,1Fam,4,8,1,0,7,1976,1176,3,GasA,N,1928,0,2009,160063.161220888
174,2308,TwnhsE,6,5,2,0,5,2003,0,2,GasA,Y,1935,0,2009,160422.484930191
121,8450,1Fam,7,5,2,1,8,1914,1136,3,GasA,Y,1382,0,2009,174883.598320476
68,13474,1Fam,5,5,1,0,4,1966,832,3,GasA,Y,1922,0,2006,194517.61662562
69,9786,Twnhs,7,5,1,0,6,1993,1200,3,GasA,Y,1744,0,2008,161157.428232815
21,7301,1Fam,8,5,2,0,8,2003,893,2,GasA,Y,2614,0,2008,288525.744520929
65,11287,1Fam,6,5,2,0,8,1995,994,2,GasA,Y,1800,0,2006,229977.507308335
32,10005,1Fam,6,5,1,1,7,2005,806,3,GasA,Y,1077,0,2007,141080.617121799
85,9144,1Fam,6,6,1,1,7,1997,1226,3,GasA,Y,848,0,2006,134539.116061652
43,8520,1Fam,6,5,2,0,9,1976,1184,3,GasA,Y,1244,0,2008,147404.81245099
90,13159,1Fam,7,7,2,0,5,1904,1766,2,GasA,Y,2094,0,2006,235223.014912175
79,8450,TwnhsE,9,6,0,0,6,1959,1330,3,GasA,Y,1500,0,2007,250313.162503558
105,10562,1Fam,8,7,1,0,9,1997,729,3,GasA,Y,951,0,2006,147301.746542365
92,7018,Duplex,8,9,1,0,6,1936,796,1,GasA,Y,1200,0,2010,179143.285227557
60,9750,1Fam,6,5,2,1,5,1968,915,4,GasA,Y,2295,0,2007,183854.399879739
66,5500,Duplex,4,5,2,1,7,1941,804,2,GasA,Y,2402,0,2006,179807.072171842
59,10106,TwnhsE,7,5,3,1,7,1954,816,3,GasA,Y,1661,0,2006,155682.24310193
121,14000,1Fam,10,8,2,0,8,1958,1386,3,GasA,Y,1266,0,2008,195308.008560851
52,7200,1Fam,6,6,1,0,7,1978,1041,4,GasA,Y,1894,0,2006,159825.082901139
78,3196,1Fam,9,5,1,1,6,2000,1200,1,GasA,Y,1548,0,2010,259284.853498352
62,9600,1Fam,5,8,2,1,5,1926,864,3,GasA,Y,2161,0,2007,188676.552390937
70,7800,1Fam,5,6,2,1,6,2007,960,3,GasA,Y,1056,0,2009,155479.597069102
67,8760,1Fam,7,5,2,1,7,1993,1626,3,GasA,Y,1053,0,2007,193143.604670822
60,10010,1Fam,7,5,1,1,8,1973,793,3,GasA,Y,1126,0,2007,163276.166665338
50,9800,1Fam,9,5,1,0,6,2003,910,3,GasA,Y,1248,0,2006,206914.185660971
74,2448,1Fam,7,5,2,0,6,1960,996,3,GasA,Y,2448,0,2007,227598.156123859
95,6173,1Fam,8,6,2,1,4,1994,884,3,GasA,Y,1621,0,2007,198748.344436005
63,10267,1Fam,4,7,2,1,5,1976,971,3,GasA,Y,1060,0,2007,133157.114136997
83,10800,1Fam,8,6,1,1,7,1972,856,3,GasA,Y,1241,0,2007,186226.814636304
108,2572,1Fam,5,7,1,1,6,2001,649,2,GasA,Y,1144,0,2008,127323.89761552
30,22420,TwnhsE,6,5,0,1,6,2007,900,3,GasA,Y,1040,0,2009,124702.766480204
44,7200,1Fam,5,6,1,1,7,1953,720,3,GasA,Y,800,0,2009,118907.313055791
80,14175,1Fam,7,6,2,0,5,1968,1073,3,GasA,Y,1500,0,2009,212009.399535114
100,17140,1Fam,8,6,2,0,7,1928,975,3,GasA,Y,1550,0,2010,209515.834577126
80,2289,1Fam,7,5,2,0,5,2005,936,4,GasW,Y,864,0,2009,146111.907592901
70,9100,1Fam,6,7,2,0,7,2005,948,1,GasA,Y,1306,0,2007,201093.142742657
75,10800,1Fam,6,6,2,0,7,1959,3206,3,GasA,Y,1428,0,2007,167552.715225151
80,5925,1Fam,5,6,1,0,7,1950,105,2,GasA,N,1279,0,2010,95071.7182783026
98,14364,1Fam,7,7,2,0,9,1954,712,2,GasA,N,1456,0,2010,149601.732814072
85,7200,1Fam,6,5,1,0,9,2000,969,3,GasA,Y,1752,0,2009,173374.43086927
70,6853,1Fam,7,5,2,0,9,1920,920,2,GasA,Y,1726,0,2007,121823.687817039
67,7301,1Fam,6,7,1,1,5,1925,1127,3,GasA,Y,1376,0,2009,182892.531285494
55,12205,TwnhsE,5,7,2,0,8,2004,680,3,GasA,N,1226,0,2009,136555.938818594
60,4426,1Fam,6,5,2,1,6,1959,1728,2,GasA,N,1284,0,2008,158642.301187975
60,6762,1Fam,6,5,1,1,6,1987,1252,2,GasA,Y,1344,0,2007,178615.159699386
60,10530,1Fam,8,6,1,1,9,1967,1952,6,GasA,Y,1710,0,2008,228768.613288441
80,6629,1Fam,8,7,1,1,8,1957,2078,2,GasA,Y,1603,0,2007,263305.528058792
70,11694,1Fam,6,6,2,1,6,1962,1766,2,GasA,Y,2090,0,2009,194291.157653305
141,7226,1Fam,7,5,2,0,5,1970,874,2,GasA,Y,2515,0,2008,201143.678233166
80,10125,1Fam,4,5,2,0,5,1931,991,2,GasA,Y,864,0,2006,95952.4454267471
63,10000,Duplex,5,7,2,0,9,1910,1389,2,GasA,Y,1314,0,2008,139174.12750294
50,45600,1Fam,6,5,1,1,5,1958,725,3,GasA,Y,2376,0,2008,159828.62569909
121,14536,TwnhsE,8,8,2,0,7,1969,848,2,GasA,Y,1386,0,2006,166801.963055722
95,12327,1Fam,5,5,1,1,6,1980,816,4,GasA,Y,2172,0,2010,168350.809421203
72,15593,Duplex,6,6,1,0,8,1940,637,3,GasA,Y,2094,0,2007,148539.261631251
88,17120,1Fam,7,7,2,1,7,2003,894,3,Wall,Y,1647,0,2009,217269.886025149
60,2448,1Fam,6,5,1,0,8,1976,644,3,Wall,Y,948,0,2009,102586.656648194
71,14850,1Fam,5,5,2,0,6,1964,1064,2,GasA,Y,1184,0,2007,154038.102754814
95,8163,1Fam,7,7,2,1,6,2003,1144,2,GasA,Y,1501,0,2008,185621.185951327
78,8000,1Fam,5,7,2,0,8,2006,1070,3,GasA,Y,1929,0,2007,215381.684522907
50,8500,1Fam,8,5,2,2,6,1946,384,4,GasA,Y,1431,0,2008,199936.89778977
74,9571,1Fam,5,6,1,1,8,1976,1237,3,GasA,Y,1144,0,2009,95534.40620879
70,6960,1Fam,5,5,1,1,7,1950,1214,3,GasA,Y,1358,0,2007,101453.008154163
60,6780,1Fam,7,5,2,0,7,1971,0,2,GasA,Y,1489,0,2007,163704.660111138
99,14585,1Fam,7,5,1,0,7,1904,923,4,GasA,Y,2028,0,2008,203198.951308119
78,11764,1Fam,5,5,2,1,8,1973,1629,3,GasA,Y,1548,0,2009,214653.462624801
70,6300,TwnhsE,5,5,2,0,6,1949,630,2,GasA,Y,1244,0,2006,84027.1562440674
63,14375,1Fam,6,5,0,0,5,2006,1470,2,GasA,Y,999,0,2006,172326.299342016
60,8816,1Fam,5,5,2,1,6,2006,1602,3,GasA,Y,2144,0,2008,201287.599559151
78,9250,1Fam,7,5,1,1,5,1952,700,3,GasA,Y,1982,0,2010,138822.770784269
71,1680,1Fam,8,5,1,0,8,1900,2000,3,GasA,Y,1040,0,2010,204306.583762559
84,9200,1Fam,6,5,1,0,6,1964,1416,3,GasA,N,1073,0,2007,116380.159743978
