Id,LotFrontage,LotArea,BldgType,OverallQual,OverallCond,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice
2571,75,8450,1Fam,6,6,2,1,5,1976,624,2,GasA,Y,2090,0,2009,201474.858582602
2572,82,2117,1Fam,4,8,1,0,8,1960,1396,3,GasA,Y,1386,0,2008,145036.196959424
2573,65,7388,1Fam,6,8,1,1,9,2004,926,3,GasA,Y,1869,0,2009,187757.82604152
2574,92,10382,1Fam,5,5,2,1,7,1981,965,3,GasA,Y,1165,0,2009,138969.887145848
2575,,10410,1Fam,7,5,1,0,12,2008,0,2,GasA,Y,864,0,2007,123610.487777653
2576,72,13891,1Fam,7,5,2,0,6,1959,0,2,GasA,Y,1268,0,2007,100070.044927794
2577,60,8246,1Fam,10,7,2,1,5,1964,3206,2,GasA,Y,1734,0,2006,306454.926008001
2578,75,7314,1Fam,6,7,1,1,10,1904,832,3,GasA,Y,1294,0,2006,158614.483158455
2579,,14200,TwnhsE,7,6,1,1,7,1913,940,4,GasA,Y,2418,0,2007,227445.1732388
2580,80,14226,1Fam,5,5,1,0,7,1941,747,3,GasA,Y,1535,0,2007,141633.051654733
2581,62,10335,1Fam,5,5,2,0,7,1997,793,2,GasA,Y,2080,0,2010,193157.794845916
2582,68,21695,1Fam,6,7,2,1,6,2006,944,4,GasA,Y,1928,0,2009,228779.443022363
2583,86,16059,1Fam,6,5,2,0,10,1971,0,2,GasA,Y,1310,0,2010,121067.299808895
2584,60,11911,1Fam,6,5,2,1,7,1910,2217,4,GasA,Y,1640,0,2008,148175.735268936
2585,68,20431,1Fam,7,6,2,1,6,2005,864,4,GasA,Y,2654,0,2006,284899.645218757
2586,50,3951,1Fam,4,5,2,1,5,1988,793,3,GasA,Y,835,0,2008,113217.083460972
2587,45,7200,1Fam,5,9,2,0,5,1979,864,2,GasA,Y,1368,0,2007,152563.299974119
2588,55,12003,1Fam,5,6,1,0,6,1992,729,3,GasA,Y,1732,0,2008,173314.299162191
2589,75,10140,1Fam,5,6,2,0,8,1996,1056,2,GasA,N,2080,0,2006,188852.641831634
2590,,12552,Twnhs,5,5,2,0,4,2006,1264,3,GasA,Y,1437,0,2009,163244.592571948
2591,73,10920,1Fam,8,5,2,0,6,1950,1203,3,GasA,Y,1226,0,2008,141906.36611275
2592,70,12493,1Fam,7,7,1,0,6,2006,1050,2,GasA,Y,1266,0,2006,215854.128997176
2593,,19296,1Fam,5,7,1,1,6,1914,1566,3,GasA,Y,1446,0,2010,206395.499224568
2594,55,3675,1Fam,6,5,2,0,6,1961,672,4,GasA,Y,928,0,2008,121663.043437423
2595,53,7596,1Fam,5,7,2,0,9,1936,1237,4,GasA,N,1456,0,2010,148682.781451438
2596,96,8480,1Fam,4,8,2,1,6,1997,1340,3,GasA,Y,900,0,2010,131196.09448252
2597,71,22950,1Fam,4,9,1,0,7,2002,951,3,GasA,Y,1710,0,2009,188766.633509179
2598,85,12435,1Fam,6,7,1,1,5,1993,916,3,GasA,N,800,0,2010,141488.31286371
2599,80,7711,1Fam,6,5,2,0,5,1977,1262,4,GasA,Y,1383,0,2008,164449.946506589
2600,80,9452,1Fam,6,5,1,0,5,1993,716,3,GasA,Y,904,0,2009,146677.051261971
2601,70,10410,2fmCon,5,5,2,0,4,1962,1728,1,GasA,Y,2519,0,2008,174946.657126548
2602,57,7018,1Fam,8,5,1,0,7,1998,1057,3,GasA,Y,960,0,2006,137038.376979162
2603,76,1680,1Fam,5,5,2,0,7,1993,1452,2,GasA,Y,1441,0,2010,169552.514901638
2604,144,12400,1Fam,6,5,1,0,7,1981,910,3,GasA,Y,1710,0,2009,169637.701562767
2605,58,14948,1Fam,5,5,2,0,5,2007,1440,3,GasA,Y,1375,0,2009,242206.795158308
2606,,9317,1Fam,6,4,1,1,7,1988,941,3,GasA,Y,2002,0,2010,176347.233276748
2607,64,4280,1Fam,6,5,3,0,10,1925,918,3,GasA,Y,1429,0,2008,124296.73217168
2608,50,1300,1Fam,7,5,1,1,7,1970,1573,3,GasA,Y,1416,0,2006,200376.369818647
2609,63,9672,Twnhs,6,5,2,0,6,1961,813,3,GasA,Y,1734,0,2008,175830.955765683
2610,75,11988,1Fam,7,5,1,1,5,1964,1144,3,GasA,Y,1092,0,2009,153898.303800022
2611,141,4671,1Fam,6,5,1,0,7,1922,864,3,GasA,Y,1768,0,2008,125766.900264861
2612,,11200,1Fam,7,5,2,0,6,1958,780,3,GasA,N,1768,0,2007,168962.48407935
2613,92,3196,1Fam,5,5,1,0,7,1967,894,2,GasA,Y,1734,0,2008,90375.8131498343
2614,,11198,Duplex,5,5,1,1,4,1992,1602,2,GasA,Y,1095,0,2007,189499.253673061
2615,,11214,1Fam,5,6,1,1,6,1997,953,1,GasA,Y,1163,0,2010,160798.980552497
2616,50,8121,1Fam,7,8,2,0,4,1983,1845,3,GasA,Y,990,0,2010,154708.869756488
2617,21,11029,1Fam,7,5,2,1,8,1950,864,2,GasA,Y,2002,0,2008,178340.678557462
2618,50,10593,1Fam,7,5,1,1,6,1971,1200,2,GasA,Y,1230,0,2007,184069.66335383
2619,85,7200,1Fam,5,5,2,1,6,1968,676,2,GasA,Y,1375,0,2009,122711.885111252
2620,70,11700,1Fam,5,5,1,1,9,1994,649,2,GasA,Y,1638,0,2009,177288.654940453
2621,88,16285,1Fam,7,5,1,0,10,2005,822,2,GasA,Y,1314,0,2009,159348.668090071
2622,86,7399,1Fam,7,7,1,1,5,2002,1416,3,GasA,Y,1790,0,2007,210954.892715572
2623,,9142,1Fam,5,7,1,0,7,1957,970,2,GasA,Y,1728,0,2010,168827.466079377
2624,,7000,1Fam,7,5,2,0,6,2003,710,2,GasA,Y,1726,0,2006,202027.679124998
2625,,19900,1Fam,7,6,1,0,8,2007,0,2,GasA,Y,747,0,2008,151205.599544861
2626,115,7056,1Fam,5,5,1,0,5,2007,840,4,GasA,Y,864,0,2007,158207.826243208
2627,67,12493,1Fam,6,5,2,1,4,1998,990,3,GasA,N,1344,0,2009,176447.09882363
2628,61,11777,1Fam,7,5,1,0,7,1959,1373,2,GasW,Y,1743,0,2006,178107.124897855
2629,69,14559,1Fam,7,5,2,0,5,1961,728,0,GasA,Y,892,0,2007,166538.657922661
2630,76,9000,1Fam,4,5,2,0,7,1992,1389,3,GasA,Y,1928,0,2006,199990.698774032
2631,,6897,1Fam,6,5,2,0,5,1918,845,3,GasA,Y,1253,0,2009,61179.8895716283
2632,60,12108,1Fam,5,5,1,0,8,1957,672,2,GasA,Y,1080,0,2008,141561.752634653
2633,,9490,2fmCon,6,5,2,0,7,2006,992,2,GasA,N,1126,0,2009,188249.055533268
2634,110,9200,1Fam,6,6,2,0,7,1930,880,3,GasA,Y,990,0,2008,116522.773531661
2635,,7750,1Fam,6,5,1,1,10,2004,860,3,GasA,Y,864,0,2006,160539.489403079
2636,56,13891,1Fam,7,9,2,0,6,2003,864,3,GasA,Y,1344,0,2010,191298.810708672
2637,65,11184,1Fam,6,5,2,1,5,1967,1766,2,GasA,Y,1812,648,2007,180985.309654457
2638,71,8760,1Fam,8,7,1,0,6,1954,1112,4,GasA,Y,1208,0,2007,161979.28717871
2639,,11923,1Fam,8,7,2,0,7,2004,540,3,GasA,Y,1790,0,2009,199289.717635369
2640,93,15611,1Fam,6,5,2,0,5,1967,1311,2,Wall,Y,1576,0,2007,202527.832974739
2641,,7800,1Fam,6,6,2,0,6,1915,1440,2,GasA,Y,1489,0,2008,187092.746345397
2642,,13710,1Fam,8,5,1,0,5,1920,672,2,GasA,Y,2192,0,2006,208113.019452851
2643,55,6000,1Fam,6,7,2,0,6,2007,1199,2,GasA,Y,964,0,2007,170056.532069445
2644,75,8544,1Fam,5,5,1,1,8,1960,2330,1,GasA,Y,1496,0,2007,242274.094147793
2645,,9060,1Fam,9,7,1,1,7,1970,1379,2,GasA,Y,1768,0,2009,250069.61532313
2646,83,6897,1Fam,6,6,2,1,7,1977,1869,3,GasA,Y,1953,0,2008,186802.677550487
2647,70,7844,1Fam,6,5,1,0,5,1998,864,2,GasA,Y,2414,0,2009,220508.016206044
2648,130,14115,TwnhsE,7,5,1,1,4,1993,689,2,GasA,N,1394,0,2009,126087.483715545
2649,70,12400,1Fam,7,5,1,0,5,1966,864,3,GasA,Y,2034,0,2007,204636.804711901
2650,60,20431,1Fam,6,5,2,0,6,1990,458,3,GasA,Y,2126,0,2006,205303.391916421
2651,24,10140,1Fam,5,5,1,0,7,2001,1204,3,GasA,N,1113,0,2009,132912.039680123
2652,75,10020,1Fam,6,8,2,0,9,1972,990,1,GasA,N,2414,0,2006,197083.137383753
2653,60,16905,1Fam,7,5,1,0,10,1990,1844,3,GasA,Y,1328,0,2007,220082.27692339
2654,96,10650,1Fam,8,5,1,0,9,1967,480,3,GasA,Y,1310,0,2008,187362.858596106
2655,70,3230,1Fam,7,7,1,0,6,2003,1228,3,GasA,Y,1301,0,2008,160043.782593554
2656,,28698,1Fam,6,5,1,1,6,1890,975,1,GasA,Y,1109,0,2007,114451.969781722
2657,60,9084,1Fam,7,5,1,1,7,1954,0,3,GasA,Y,1576,0,2009,146936.403025708
2658,50,6000,1Fam,4,6,1,0,6,1994,1184,3,GasA,Y,1656,0,2009,156282.117439873
2659,,12822,1Fam,8,6,1,1,6,1977,990,2,GasA,Y,1487,0,2008,190011.621500013
2660,85,4224,Twnhs,5,5,1,1,6,1919,900,3,GasA,Y,1500,0,2007,138815.330718246
2661,81,12003,1Fam,5,5,1,0,6,2008,1720,2,GasA,Y,1442,0,2009,222279.122643757
2662,68,6792,1Fam,7,8,2,0,4,2005,1498,2,GasA,Y,924,0,2009,236608.204635392
2663,60,13673,1Fam,7,2,2,1,7,2000,926,3,GasA,Y,1639,0,2010,199290.888962163
2664,73,11600,1Fam,4,6,1,0,7,1980,648,3,GasA,Y,1456,0,2007,146113.760335431
2665,85,10125,1Fam,5,5,1,0,9,1971,848,2,GasA,N,900,0,2010,108488.092047444
2666,67,9591,1Fam,7,5,1,1,5,2007,864,2,GasA,Y,1792,0,2006,246393.82958505
2667,47,8462,1Fam,4,5,1,0,6,2006,1065,2,GasA,Y,1262,0,2009,143380.66228367
2668,82,21453,Duplex,6,5,2,0,4,1964,756,2,GasA,Y,1218,0,2010,123363.606738988
2669,80,21695,1Fam,5,2,2,0,7,2006,860,3,GasA,Y,1241,0,2006,164859.338246602
2670,40,8475,1Fam,8,7,1,0,6,1995,807,2,GasA,Y,1992,0,2008,252009.828118778
2671,75,13265,1Fam,7,6,1,0,6,2007,784,3,GasA,Y,1445,0,2009,176157.38368669
2672,80,10041,1Fam,7,5,2,0,6,1950,1210,2,GasA,Y,1768,0,2009,174079.887581509
2673,,15602,1Fam,7,5,1,0,5,1920,768,3,GasA,Y,2020,0,2006,211420.12468052
2674,100,18800,1Fam,6,5,1,0,7,2002,600,2,GasA,Y,720,0,2008,130790.246619861
2675,63,6040,1Fam,6,6,0,0,5,1950,696,3,GasA,Y,1296,0,2009,125215.844709458
2676,60,40094,1Fam,6,5,1,0,7,1962,750,4,GasA,Y,980,0,2008,129610.504578564
2677,34,12702,1Fam,6,5,1,0,7,1997,928,4,GasA,Y,902,0,2006,150593.115482193
2678,60,9600,1Fam,4,5,1,0,6,1921,882,3,GasA,Y,1146,0,2008,115875.60188355
2679,73,14442,1Fam,5,7,1,0,4,1959,536,3,GasA,Y,2259,0,2008,182271.929518085
2680,90,11838,TwnhsE,6,5,2,0,8,2005,1080,2,GasA,Y,900,0,2007,141905.476228061
2681,129,9612,1Fam,6,7,2,0,6,1916,907,3,GasA,Y,1779,0,2007,144999.343568841
2682,,9317,TwnhsE,9,5,1,1,7,1967,2000,1,GasA,Y,1604,0,2008,278866.523889386
2683,51,13600,1Fam,7,5,2,0,6,1976,1604,3,GasA,Y,1111,0,2007,199461.159288665
2684,70,8470,1Fam,5,7,1,1,7,1948,1034,3,GasA,Y,1511,0,2007,169196.724613018
2685,50,11428,TwnhsE,4,6,1,0,4,1910,1413,4,GasA,Y,1381,0,2007,148199.479496049
2686,60,3196,1Fam,8,6,1,0,4,2004,1686,4,GasA,Y,1144,0,2007,267608.959587282
2687,50,10437,1Fam,7,5,1,0,8,1974,1422,3,GasA,Y,848,0,2010,177620.979498764
2688,75,15593,1Fam,7,5,1,0,2,1994,816,3,GasA,Y,1489,0,2006,215181.451593261
2689,60,7931,1Fam,6,3,2,0,7,1998,1117,3,GasA,Y,2097,0,2007,200837.700988592
2690,,11500,1Fam,4,3,2,1,10,1950,1340,3,GasA,Y,912,0,2007,44727.4197423311
2691,56,9600,1Fam,5,6,1,1,6,2004,1561,3,GasA,Y,1416,0,2010,209596.461240833
2692,75,10237,1Fam,8,5,2,0,10,1920,3200,3,GasA,Y,1092,0,2007,266728.759064769
2693,105,8200,1Fam,5,6,2,0,6,1962,742,2,GasA,Y,1766,0,2008,176652.244210605
2694,34,13300,1Fam,7,7,1,0,4,1948,864,3,GasA,Y,1721,0,2007,171248.481840186
2695,80,5389,1Fam,6,6,2,0,6,2008,849,2,GasA,Y,2080,0,2007,189169.702548207
2696,69,12615,1Fam,9,6,1,0,8,1960,1276,4,GasA,Y,1689,0,2008,252879.535206102
2697,80,28698,1Fam,10,5,1,0,5,2006,1838,3,GasA,N,1826,0,2007,349353.30673606
2698,70,13758,1Fam,8,5,2,0,7,1995,2216,3,GasA,Y,1276,0,2008,259707.526906598
2699,78,8400,1Fam,9,5,2,0,6,2006,2444,4,GasA,Y,2364,0,2007,378073.395081916
2700,,13907,1Fam,6,6,2,1,6,1977,1375,3,GasA,Y,1302,0,2007,168473.530227083
2701,68,7136,1Fam,5,5,1,1,6,1945,1080,3,GasA,Y,924,0,2006,123194.499820915
2702,57,7875,1Fam,6,7,2,0,8,1972,1713,3,GasA,Y,1960,0,2010,200823.356861986
2703,61,5586,1Fam,8,5,2,1,4,2004,832,3,GasA,Y,1214,0,2010,211982.403199946
2704,81,10970,1Fam,5,5,1,1,6,1952,1976,2,GasA,Y,938,0,2009,136031.994667778
2705,60,10530,1Fam,6,7,1,0,8,1962,728,3,GasA,Y,2728,0,2007,178087.623365565
2706,80,10140,1Fam,5,5,1,0,6,2007,1726,3,GasA,Y,1796,0,2009,208974.716921061
2707,96,8750,1Fam,10,5,2,0,6,2006,1276,1,GasA,Y,901,0,2006,247196.176619803
2708,105,9967,2fmCon,6,6,1,0,7,1983,483,3,GasA,Y,1056,0,2010,158658.687598347
2709,24,11248,1Fam,7,4,1,1,7,1983,999,4,GasA,Y,1102,0,2010,133388.850518629
2710,57,11249,1Fam,6,5,2,0,6,1972,856,4,GasA,Y,1040,0,2006,109104.281523921
2711,78,9150,1Fam,7,4,1,0,5,2008,832,4,GasA,Y,1266,0,2009,187397.887137625
2712,80,16770,TwnhsE,6,6,1,0,5,1971,458,3,GasA,Y,2259,0,2008,117462.725914905
2713,65,7064,TwnhsE,5,5,2,1,4,2004,1203,2,GasA,Y,999,0,2009,122243.652121973
2714,70,6960,1Fam,6,5,1,0,7,1994,912,3,GasA,Y,1665,0,2010,174444.380820401
2715,107,7128,1Fam,6,7,1,0,7,1925,672,3,GasA,Y,1605,0,2009,120182.36817313
2716,72,9548,1Fam,7,6,1,0,7,1999,1040,3,GasA,Y,1065,0,2007,181076.72459547
2717,,6600,1Fam,8,5,1,1,8,1971,744,3,GasA,Y,1826,0,2006,219460.039252011
2718,75,1680,1Fam,2,5,1,0,6,2009,651,3,GasA,Y,796,0,2007,91204.9037312346
2719,,7175,1Fam,6,7,1,0,6,1936,1442,4,GasA,Y,1768,0,2009,198682.245273316
2720,,8471,1Fam,5,5,2,0,5,1960,697,3,GasA,Y,1960,0,2009,140878.551342852
2721,98,14145,2fmCon,4,5,2,0,7,1960,1040,2,GasA,Y,1797,0,2010,141867.35762574
2722,105,11851,1Fam,6,7,2,0,6,2006,1656,3,GasA,Y,1973,0,2009,210342.932663821
2723,70,10846,1Fam,9,5,1,1,4,2006,0,4,GasA,Y,1721,0,2010,220028.683200345
2724,75,5105,1Fam,7,7,2,1,8,2006,912,4,GasA,Y,858,0,2010,164340.644191372
2725,107,6240,TwnhsE,4,5,2,1,8,1926,3094,2,GasA,Y,1337,0,2008,207058.077624809
2726,75,10125,1Fam,5,6,1,0,5,1908,1392,3,GasA,Y,2696,0,2008,156023.740400369
2727,36,9920,1Fam,6,5,2,1,7,1921,864,2,GasA,Y,2713,0,2007,180141.355941862
2728,64,12508,1Fam,5,7,1,1,6,1988,1086,2,GasA,Y,1640,0,2006,190446.891494145
2729,,4224,1Fam,5,6,2,0,7,1992,952,2,GasA,Y,1664,0,2009,192363.116663737
2730,24,3922,1Fam,7,5,1,0,8,1978,1588,3,GasA,Y,858,0,2009,184717.334827791
2731,75,9548,1Fam,6,6,2,1,6,1959,832,3,GasA,Y,1150,0,2009,156096.610771647
2732,60,11999,1Fam,2,7,2,0,6,1986,840,3,Grav,Y,968,0,2008,147999.949266959
2733,,11457,1Fam,8,7,1,0,5,1966,941,4,GasA,Y,1344,0,2007,179345.55749093
2734,106,14000,1Fam,5,5,2,0,8,1954,1434,3,GasA,Y,1852,0,2009,168891.806908211
2735,94,8593,1Fam,5,7,2,0,6,1980,768,3,GasA,Y,1501,0,2006,196033.178643005
2736,73,8777,1Fam,6,5,2,1,7,1968,1034,3,GasA,Y,1739,0,2010,187386.336117762
2737,90,10708,1Fam,7,5,1,1,7,1900,1214,3,GasA,Y,796,0,2009,147290.282347085
2738,70,9317,1Fam,4,8,2,0,8,1958,747,3,GasA,Y,1200,0,2006,161118.830407426
2739,84,6970,Duplex,8,6,2,0,5,1963,636,3,GasA,Y,1640,0,2009,175633.487756269
2740,144,1300,1Fam,9,6,1,1,8,1920,1232,3,GasA,Y,1291,0,2006,171468.382407065
2741,95,10652,1Fam,7,6,2,0,7,2007,954,3,GasA,Y,1721,0,2010,226340.976936585
2742,73,9337,Duplex,8,5,1,0,5,2007,1582,1,GasA,N,1309,0,2007,256810.739320727
2743,,5720,1Fam,7,6,2,0,6,2002,384,3,GasA,Y,784,0,2008,174563.855318908
2744,50,8640,1Fam,7,2,2,0,7,1890,832,3,GasA,Y,1383,0,2008,156645.379421455
2745,80,10859,1Fam,5,7,2,1,7,1950,926,3,GasA,N,1440,0,2006,166471.244734573
2746,77,11414,TwnhsE,9,6,2,1,8,1978,848,2,GasA,Y,1494,0,2010,221621.656672269
2747,40,7018,1Fam,5,9,1,0,7,2003,672,6,GasW,Y,2046,0,2007,156955.776226306
2748,,10382,1Fam,7,5,1,0,7,1954,1034,3,GasA,Y,2224,0,2009,205326.686001767
2749,,10791,1Fam,6,5,1,0,6,1965,360,2,GasA,Y,1709,0,2008,174195.204773906
2750,,9612,1Fam,5,5,1,0,6,1941,856,2,GasA,Y,1710,0,2006,133399.657883683
2751,50,15578,Twnhs,7,6,1,1,7,1915,813,4,GasA,Y,2872,0,2008,251268.394515864
2752,,7711,1Fam,6,6,2,0,10,1958,660,3,GasA,Y,1200,0,2008,137848.86322659
2753,,6240,1Fam,5,6,2,0,5,1956,912,3,Grav,Y,1775,0,2006,162628.414825833
2754,51,11717,1Fam,8,8,2,1,9,1975,686,3,GasA,Y,1561,0,2009,184335.080183319
2755,84,25095,1Fam,7,6,1,1,7,1910,1088,3,GasA,Y,1959,0,2006,215055.170417949
2756,61,7931,1Fam,5,5,1,1,4,2009,600,2,GasA,Y,1486,0,2007,151505.511472705
2757,,10769,1Fam,5,6,2,0,10,1940,1477,1,GasA,Y,968,0,2009,178448.528594484
2758,70,7861,1Fam,10,5,1,0,10,2005,1056,4,GasA,Y,816,0,2007,216520.024634268
2759,65,9020,1Fam,7,8,2,1,8,2000,1440,2,GasA,N,1434,0,2008,223959.779722173
2760,70,4251,1Fam,7,5,2,0,6,2005,1078,3,GasA,Y,1640,0,2007,192068.212759841
2761,,11475,1Fam,7,6,1,0,7,2005,1845,4,GasA,Y,882,0,2009,163999.651188513
2762,60,7472,1Fam,5,6,2,0,6,1952,546,2,GasA,Y,1336,0,2007,112003.522367417
2763,67,12243,1Fam,5,5,2,1,5,1964,637,3,GasA,Y,1200,0,2006,167602.063808354
2764,69,5330,2fmCon,6,5,2,0,10,1971,880,3,GasA,Y,1790,0,2007,160741.29765409
2765,77,13869,1Fam,6,5,2,1,8,1967,1362,3,GasA,Y,1456,0,2006,152680.896356555
2766,60,9375,1Fam,7,7,3,0,5,2005,912,3,GasA,Y,1734,0,2007,199940.684679672
2767,88,8544,1Fam,8,5,2,0,7,1965,520,2,GasA,Y,1453,0,2006,203955.490972474
2768,60,14230,1Fam,5,3,2,0,9,1940,520,2,GasA,Y,1604,0,2007,126758.778501166
2769,84,12095,1Fam,7,5,2,0,7,1978,1134,3,GasA,Y,1440,0,2007,172594.740769275
2770,,9991,1Fam,4,5,1,0,6,2003,720,3,GasA,Y,1800,0,2006,153972.607421193
2771,70,13704,1Fam,5,5,1,0,8,1957,1086,3,GasA,N,1196,0,2008,127808.073077438
2772,121,2117,1Fam,7,6,1,0,7,1942,1040,1,GasA,N,1469,0,2009,126821.831867198
2773,,10140,1Fam,7,6,1,0,6,1970,856,3,GasA,Y,1992,0,2009,175594.848226585
2774,,10382,1Fam,7,5,2,0,5,1978,742,2,GasA,Y,1073,0,2010,139979.912601279
2775,,10380,1Fam,6,6,2,0,6,1946,1142,2,GasA,Y,1362,0,2008,172111.855354782
2776,75,4923,TwnhsE,7,5,1,0,10,1918,756,2,GasA,Y,848,0,2010,100279.669209464
2777,,6768,1Fam,7,6,1,0,8,1975,844,3,GasA,Y,1620,0,2009,157477.603875492
2778,,9600,Duplex,6,8,2,0,7,1973,916,3,GasA,Y,1350,0,2009,179931.287763692
2779,,10125,2fmCon,4,5,2,0,7,2006,485,3,GasA,Y,747,0,2008,136353.849291393
2780,,9600,1Fam,7,7,1,0,6,1963,1032,2,GasA,Y,1940,0,2009,187806.411081994
2781,,12182,1Fam,7,4,2,0,4,1959,970,3,GasA,Y,1196,0,2007,163923.146131756
2782,,11287,1Fam,8,8,2,0,4,2001,1161,3,GasA,Y,2230,0,2007,267520.885558509
2783,75,11198,1Fam,8,7,2,0,6,1971,672,2,GasA,Y,1236,0,2006,196729.414815906
2784,70,7314,TwnhsE,7,7,2,0,6,2005,264,3,GasA,N,988,0,2010,141516.817200558
2785,80,8400,1Fam,7,6,1,0,6,2003,1249,4,GasA,Y,773,0,2008,147616.746007321
2786,48,14154,1Fam,7,5,2,0,7,2006,936,3,GasA,Y,1092,0,2006,175436.393621886
2787,,10970,1Fam,6,6,2,0,7,2003,1065,3,GasA,Y,1131,0,2006,166240.43635226
2788,115,8593,1Fam,8,5,2,1,7,1940,360,3,GasA,Y,2207,0,2006,207139.383319086
2789,53,46589,1Fam,4,7,2,0,7,1979,485,3,GasA,Y,1458,0,2009,123850.571094265
2790,50,10667,1Fam,4,5,2,0,6,1997,846,3,GasA,Y,630,0,2007,119420.741409297
2791,21,2887,1Fam,8,7,1,0,8,1954,750,3,GasA,Y,2113,0,2009,215734.421590414
2792,105,7200,1Fam,5,5,1,0,3,2004,1158,2,GasA,Y,2654,0,2009,172407.531551971
2793,80,4800,1Fam,7,7,1,0,6,2006,530,1,GasA,Y,1228,0,2007,188964.294082416
2794,,20896,1Fam,8,5,1,1,7,1994,794,5,GasA,Y,1756,0,2007,241673.136994911
2795,75,10420,1Fam,8,5,2,0,3,1925,802,3,GasA,Y,1494,0,2006,174939.511232734
2796,90,9600,1Fam,7,5,2,0,7,1968,702,3,GasA,Y,968,0,2007,118289.725860876
2797,85,9600,1Fam,5,3,2,0,6,1920,725,3,GasA,Y,894,0,2006,78271.5072321718
2798,55,9742,1Fam,7,5,1,0,7,1962,1175,3,GasA,Y,1470,0,2006,183754.462519401
2799,,10800,1Fam,5,5,1,0,8,1997,546,3,GasA,Y,1728,0,2007,185722.19253122
2800,55,6993,TwnhsE,5,7,2,0,7,2008,1248,3,GasA,Y,1099,0,2009,163740.104377434
2801,91,7875,1Fam,8,5,1,0,7,1953,630,3,GasA,Y,864,0,2009,121905.360771965
2802,70,3922,1Fam,6,5,2,0,5,1959,864,2,GasA,Y,2624,0,2007,172078.325619473
2803,69,11988,1Fam,7,5,1,0,5,1968,560,3,GasA,Y,969,0,2010,138869.589431218
2804,40,12435,1Fam,6,5,2,0,11,2005,783,4,GasA,Y,864,0,2006,90218.8787653431
2805,50,2522,1Fam,6,6,2,0,7,1977,1434,2,GasA,Y,1922,0,2008,154810.058657692
2806,82,10000,1Fam,5,5,2,1,7,1916,795,4,GasA,Y,1502,0,2007,147071.814356193
2807,120,11302,1Fam,5,5,1,0,6,1966,1056,4,GasA,Y,1717,0,2006,165037.249239232
2808,,7340,1Fam,6,6,1,0,8,1957,1614,3,GasA,Y,1110,0,2009,184009.807340738
2809,40,7700,1Fam,5,5,1,0,7,2003,728,3,GasA,Y,2062,0,2006,165938.536581604
2810,24,6600,1Fam,4,7,1,0,4,1999,868,2,GasA,Y,2158,0,2007,174013.625203039
2811,84,7018,1Fam,5,4,2,1,6,1972,715,3,GasA,Y,1651,0,2007,117658.916062389
2812,60,10800,1Fam,4,5,1,0,6,1970,1063,3,GasA,Y,1566,0,2008,122937.070001675
2813,74,12416,1Fam,7,4,2,1,5,1967,912,1,GasW,Y,1004,0,2006,173643.729393409
2814,92,9320,2fmCon,8,7,2,0,9,1910,1318,2,GasA,Y,894,0,2008,186782.077597077
2815,60,2268,1Fam,5,5,2,0,6,1918,1316,2,GasA,Y,1561,0,2009,165288.709044921
2816,,8760,TwnhsE,5,6,1,0,7,1925,1833,2,GasA,Y,864,0,2008,172613.472675965
2817,74,13474,1Fam,5,5,2,0,6,2003,912,3,GasA,Y,2332,0,2010,227109.661354181
2818,40,6240,1Fam,5,7,2,1,5,1947,1145,3,GasA,Y,838,0,2008,151195.43159721
2819,120,12227,1Fam,6,5,2,0,8,2007,1020,2,GasA,Y,1512,0,2009,171171.549281665
2820,,8012,1Fam,6,5,1,1,7,1955,952,3,GasA,Y,1347,0,2008,135925.396028137
2821,95,14375,TwnhsE,7,5,2,0,3,1924,920,2,GasA,N,1340,0,2008,145137.503766497
2822,35,12099,1Fam,6,5,1,1,6,1965,778,3,GasA,Y,924,0,2006,105595.679120367
2823,,6240,1Fam,5,5,2,0,5,1975,1623,4,GasA,Y,2448,0,2009,174656.123600056
2824,47,8532,1Fam,8,6,1,0,12,2003,1453,3,GasA,Y,2452,0,2006,319549.255327566
2825,65,6420,Duplex,6,5,2,1,8,1967,0,4,GasA,Y,1674,0,2006,139146.717686375
2826,51,10007,1Fam,5,6,2,0,8,1954,832,3,GasA,Y,2144,0,2008,161984.391117471
2827,112,4500,1Fam,8,5,2,1,7,1958,1844,2,GasA,Y,1756,0,2006,258623.989444006
2828,75,11394,1Fam,6,5,1,0,8,1922,718,2,GasA,Y,1056,0,2006,120960.29583534
2829,85,12640,1Fam,8,7,2,0,4,2006,768,4,GasA,Y,861,0,2006,197006.67864313
2830,65,53227,TwnhsE,8,5,2,1,7,2004,768,4,GasA,Y,1372,0,2006,167393.092651855
2831,80,3182,1Fam,6,9,1,1,6,1978,547,8,GasA,Y,1710,0,2008,132025.665301674
2832,,10659,1Fam,7,5,2,1,10,1924,720,3,GasA,Y,3140,0,2010,252959.92163039
2833,60,10159,1Fam,7,5,2,1,5,1950,993,3,GasA,Y,2624,0,2008,236042.177290856
2834,50,9873,1Fam,7,5,2,1,5,1940,1517,4,GasA,Y,2090,0,2008,249217.975901155
2835,51,6000,1Fam,5,6,2,0,6,1970,1454,3,GasA,Y,1469,0,2008,149677.397468623
2836,,9000,1Fam,7,9,2,0,11,1983,616,2,GasA,Y,1482,0,2009,180485.41858801
